================================================================================
********************************************************************************
Backtracking Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Backtracking Algorithm Detail
NQueen	Time	SUCCESS/FAIL	Number of Trials
4	15	SUCCESS	1
4	6	SUCCESS	2
4	5	SUCCESS	3
4	5	SUCCESS	4
4	5	SUCCESS	5
4	5	SUCCESS	6
4	4	SUCCESS	7
4	5	SUCCESS	8
4	5	SUCCESS	9
4	5	SUCCESS	10
4	5	SUCCESS	11
4	5	SUCCESS	12
4	5	SUCCESS	13
4	5	SUCCESS	14
4	5	SUCCESS	15
4	5	SUCCESS	16
4	5	SUCCESS	17
4	5	SUCCESS	18
4	5	SUCCESS	19
4	5	SUCCESS	20
4	5	SUCCESS	21
4	5	SUCCESS	22
4	5	SUCCESS	23
4	5	SUCCESS	24
4	5	SUCCESS	25
4	5	SUCCESS	26
4	5	SUCCESS	27
4	5	SUCCESS	28
4	5	SUCCESS	29
4	5	SUCCESS	30
4	5	SUCCESS	31
4	5	SUCCESS	32
4	5	SUCCESS	33
4	5	SUCCESS	34
4	5	SUCCESS	35
4	5	SUCCESS	36
4	5	SUCCESS	37
4	4	SUCCESS	38
4	5	SUCCESS	39
4	4	SUCCESS	40
4	5	SUCCESS	41
4	5	SUCCESS	42
4	5	SUCCESS	43
4	4	SUCCESS	44
4	5	SUCCESS	45
4	5	SUCCESS	46
4	5	SUCCESS	47
4	5	SUCCESS	48
4	5	SUCCESS	49
4	5	SUCCESS	50
********************************************************************************
5	13	SUCCESS	1
5	6	SUCCESS	2
5	5	SUCCESS	3
5	4	SUCCESS	4
5	4	SUCCESS	5
5	4	SUCCESS	6
5	4	SUCCESS	7
5	4	SUCCESS	8
5	4	SUCCESS	9
5	4	SUCCESS	10
5	3	SUCCESS	11
5	4	SUCCESS	12
5	3	SUCCESS	13
5	4	SUCCESS	14
5	4	SUCCESS	15
5	4	SUCCESS	16
5	4	SUCCESS	17
5	3	SUCCESS	18
5	4	SUCCESS	19
5	4	SUCCESS	20
5	4	SUCCESS	21
