================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
4	12	31	SUCCESS	1
4	14	50	SUCCESS	2
4	3	6	SUCCESS	3
4	8	31	SUCCESS	4
4	12	50	SUCCESS	5
4	2	6	SUCCESS	6
4	8	31	SUCCESS	7
4	11	50	SUCCESS	8
4	3	6	SUCCESS	9
4	7	31	SUCCESS	10
4	11	50	SUCCESS	11
4	2	6	SUCCESS	12
4	7	31	SUCCESS	13
4	11	50	SUCCESS	14
4	2	6	SUCCESS	15
4	8	31	SUCCESS	16
4	10	50	SUCCESS	17
4	3	6	SUCCESS	18
4	7	31	SUCCESS	19
4	11	50	SUCCESS	20
4	2	6	SUCCESS	21
4	7	31	SUCCESS	22
4	11	50	SUCCESS	23
4	2	6	SUCCESS	24
4	7	31	SUCCESS	25
4	11	50	SUCCESS	26
4	3	6	SUCCESS	27
4	7	31	SUCCESS	28
4	11	50	SUCCESS	29
4	2	6	SUCCESS	30
4	7	31	SUCCESS	31
4	11	50	SUCCESS	32
4	2	6	SUCCESS	33
4	7	31	SUCCESS	34
4	11	50	SUCCESS	35
4	2	6	SUCCESS	36
4	7	31	SUCCESS	37
4	11	50	SUCCESS	38
4	2	6	SUCCESS	39
4	7	31	SUCCESS	40
4	11	50	SUCCESS	41
4	2	6	SUCCESS	42
4	7	31	SUCCESS	43
4	11	50	SUCCESS	44
4	3	6	SUCCESS	45
4	7	31	SUCCESS	46
4	10	50	SUCCESS	47
4	3	6	SUCCESS	48
4	7	31	SUCCESS	49
4	11	50	SUCCESS	50
********************************************************************************
5	20	37	SUCCESS	1
5	8	12	SUCCESS	2
5	11	20	SUCCESS	3
5	7	11	SUCCESS	4
5	9	20	SUCCESS	5
5	5	11	SUCCESS	6
5	8	20	SUCCESS	7
5	5	11	SUCCESS	8
5	8	20	SUCCESS	9
5	5	11	SUCCESS	10
5	8	20	SUCCESS	11
5	5	11	SUCCESS	12
5	8	20	SUCCESS	13
5	4	11	SUCCESS	14
5	7	20	SUCCESS	15
5	5	11	SUCCESS	16
5	8	20	SUCCESS	17
5	5	11	SUCCESS	18
5	7	20	SUCCESS	19
5	4	11	SUCCESS	20
5	8	20	SUCCESS	21
5	4	11	SUCCESS	22
5	7	20	SUCCESS	23
5	5	11	SUCCESS	24
5	7	20	SUCCESS	25
5	4	11	SUCCESS	26
5	7	20	SUCCESS	27
5	4	11	SUCCESS	28
5	8	20	SUCCESS	29
5	4	11	SUCCESS	30
5	7	20	SUCCESS	31
5	4	11	SUCCESS	32
5	7	20	SUCCESS	33
5	5	11	SUCCESS	34
5	7	20	SUCCESS	35
5	8	11	SUCCESS	36
5	7	20	SUCCESS	37
5	4	11	SUCCESS	38
5	7	20	SUCCESS	39
5	4	11	SUCCESS	40
5	7	20	SUCCESS	41
5	4	11	SUCCESS	42
5	7	20	SUCCESS	43
5	4	11	SUCCESS	44
5	7	20	SUCCESS	45
5	4	11	SUCCESS	46
5	7	20	SUCCESS	47
5	4	11	SUCCESS	48
5	7	20	SUCCESS	49
5	4	11	SUCCESS	50
********************************************************************************
6	216	396	SUCCESS	1
6	88	154	SUCCESS	2
6	165	297	SUCCESS	3
6	201	386	SUCCESS	4
6	715	1354	SUCCESS	5
6	704	1354	SUCCESS	6
6	701	1354	SUCCESS	7
6	703	1354	SUCCESS	8
6	702	1354	SUCCESS	9
6	705	1354	SUCCESS	10
6	703	1354	SUCCESS	11
6	703	1354	SUCCESS	12
6	703	1354	SUCCESS	13
6	703	1354	SUCCESS	14
6	700	1354	SUCCESS	15
6	701	1354	SUCCESS	16
6	705	1354	SUCCESS	17
6	703	1354	SUCCESS	18
6	702	1354	SUCCESS	19
6	704	1354	SUCCESS	20
6	703	1354	SUCCESS	21
6	704	1354	SUCCESS	22
6	704	1354	SUCCESS	23
6	704	1354	SUCCESS	24
6	701	1354	SUCCESS	25
6	704	1354	SUCCESS	26
6	704	1354	SUCCESS	27
6	700	1354	SUCCESS	28
6	703	1354	SUCCESS	29
6	705	1354	SUCCESS	30
6	705	1354	SUCCESS	31
6	705	1354	SUCCESS	32
6	704	1354	SUCCESS	33
6	705	1354	SUCCESS	34
6	703	1354	SUCCESS	35
6	704	1354	SUCCESS	36
6	703	1354	SUCCESS	37
6	703	1354	SUCCESS	38
6	705	1354	SUCCESS	39
6	704	1354	SUCCESS	40
6	703	1354	SUCCESS	41
6	702	1354	SUCCESS	42
6	704	1354	SUCCESS	43
6	704	1354	SUCCESS	44
6	701	1354	SUCCESS	45
6	704	1354	SUCCESS	46
6	706	1354	SUCCESS	47
6	699	1354	SUCCESS	48
6	703	1354	SUCCESS	49
6	703	1354	SUCCESS	50
********************************************************************************
7	117	176	SUCCESS	1
7	64	83	SUCCESS	2
7	7	8	SUCCESS	3
7	28	35	SUCCESS	4
7	271	389	SUCCESS	5
7	32	45	SUCCESS	6
7	23	28	SUCCESS	7
7	125	180	SUCCESS	8
7	117	180	SUCCESS	9
7	113	180	SUCCESS	10
7	116	180	SUCCESS	11
7	112	180	SUCCESS	12
7	111	180	SUCCESS	13
7	111	180	SUCCESS	14
7	111	180	SUCCESS	15
7	111	180	SUCCESS	16
7	111	180	SUCCESS	17
7	110	180	SUCCESS	18
7	113	180	SUCCESS	19
7	110	180	SUCCESS	20
7	110	180	SUCCESS	21
7	110	180	SUCCESS	22
7	110	180	SUCCESS	23
7	110	180	SUCCESS	24
7	110	180	SUCCESS	25
7	110	180	SUCCESS	26
7	109	180	SUCCESS	27
7	112	180	SUCCESS	28
7	110	180	SUCCESS	29
7	110	180	SUCCESS	30
7	110	180	SUCCESS	31
7	110	180	SUCCESS	32
7	109	180	SUCCESS	33
7	110	180	SUCCESS	34
7	110	180	SUCCESS	35
7	110	180	SUCCESS	36
7	115	180	SUCCESS	37
7	110	180	SUCCESS	38
7	110	180	SUCCESS	39
7	109	180	SUCCESS	40
7	110	180	SUCCESS	41
7	110	180	SUCCESS	42
7	111	180	SUCCESS	43
7	110	180	SUCCESS	44
7	110	180	SUCCESS	45
7	112	180	SUCCESS	46
7	110	180	SUCCESS	47
7	110	180	SUCCESS	48
7	110	180	SUCCESS	49
7	110	180	SUCCESS	50
********************************************************************************
8	326	437	SUCCESS	1
8	327	442	SUCCESS	2
8	404	541	SUCCESS	3
8	152	192	SUCCESS	4
8	22	25	SUCCESS	5
8	35	41	SUCCESS	6
8	20	20	SUCCESS	7
8	160	222	SUCCESS	8
8	118	162	SUCCESS	9
8	14	16	SUCCESS	10
8	635	851	SUCCESS	11
8	340	442	SUCCESS	12
8	405	541	SUCCESS	13
8	154	192	SUCCESS	14
8	23	25	SUCCESS	15
8	33	41	SUCCESS	16
8	20	20	SUCCESS	17
8	160	222	SUCCESS	18
8	118	162	SUCCESS	19
8	15	16	SUCCESS	20
8	637	851	SUCCESS	21
8	338	442	SUCCESS	22
8	400	541	SUCCESS	23
8	151	192	SUCCESS	24
8	23	25	SUCCESS	25
8	34	41	SUCCESS	26
8	20	20	SUCCESS	27
8	160	222	SUCCESS	28
8	118	162	SUCCESS	29
8	15	16	SUCCESS	30
8	636	851	SUCCESS	31
8	340	442	SUCCESS	32
8	399	541	SUCCESS	33
8	152	192	SUCCESS	34
8	22	25	SUCCESS	35
8	34	41	SUCCESS	36
8	19	20	SUCCESS	37
8	161	222	SUCCESS	38
8	117	162	SUCCESS	39
8	14	16	SUCCESS	40
8	636	851	SUCCESS	41
8	338	442	SUCCESS	42
8	399	541	SUCCESS	43
8	152	192	SUCCESS	44
8	22	25	SUCCESS	45
8	34	41	SUCCESS	46
8	19	20	SUCCESS	47
8	159	222	SUCCESS	48
8	118	162	SUCCESS	49
8	15	16	SUCCESS	50
********************************************************************************
9	128	119	SUCCESS	1
9	291	295	SUCCESS	2
9	185	189	SUCCESS	3
9	23	20	SUCCESS	4
9	419	427	SUCCESS	5
9	241	238	SUCCESS	6
9	32	28	SUCCESS	7
9	412	427	SUCCESS	8
9	242	238	SUCCESS	9
9	32	28	SUCCESS	10
9	412	427	SUCCESS	11
9	240	238	SUCCESS	12
9	32	28	SUCCESS	13
9	417	427	SUCCESS	14
9	240	238	SUCCESS	15
9	32	28	SUCCESS	16
9	411	427	SUCCESS	17
9	240	238	SUCCESS	18
9	32	28	SUCCESS	19
9	411	427	SUCCESS	20
9	238	238	SUCCESS	21
9	31	28	SUCCESS	22
9	412	427	SUCCESS	23
9	239	238	SUCCESS	24
9	31	28	SUCCESS	25
9	412	427	SUCCESS	26
9	239	238	SUCCESS	27
9	32	28	SUCCESS	28
9	411	427	SUCCESS	29
9	243	238	SUCCESS	30
9	31	28	SUCCESS	31
9	410	427	SUCCESS	32
9	239	238	SUCCESS	33
9	31	28	SUCCESS	34
9	412	427	SUCCESS	35
9	239	238	SUCCESS	36
9	32	28	SUCCESS	37
9	409	427	SUCCESS	38
9	242	238	SUCCESS	39
9	32	28	SUCCESS	40
9	410	427	SUCCESS	41
9	240	238	SUCCESS	42
9	32	28	SUCCESS	43
9	412	427	SUCCESS	44
9	241	238	SUCCESS	45
9	32	28	SUCCESS	46
9	410	427	SUCCESS	47
9	242	238	SUCCESS	48
9	31	28	SUCCESS	49
9	410	427	SUCCESS	50
********************************************************************************
10	645	530	SUCCESS	1
10	107	83	SUCCESS	2
10	35	26	SUCCESS	3
10	830	704	SUCCESS	4
10	59	44	SUCCESS	5
10	113	90	SUCCESS	6
10	72	57	SUCCESS	7
10	661	507	SUCCESS	8
10	899	753	SUCCESS	9
10	763	662	SUCCESS	10
10	632	507	SUCCESS	11
10	896	753	SUCCESS	12
10	765	662	SUCCESS	13
10	630	507	SUCCESS	14
10	894	753	SUCCESS	15
10	764	662	SUCCESS	16
10	630	507	SUCCESS	17
10	893	753	SUCCESS	18
10	762	662	SUCCESS	19
10	629	507	SUCCESS	20
10	896	753	SUCCESS	21
10	765	662	SUCCESS	22
10	629	507	SUCCESS	23
10	899	753	SUCCESS	24
10	767	662	SUCCESS	25
10	632	507	SUCCESS	26
10	897	753	SUCCESS	27
10	763	662	SUCCESS	28
10	633	507	SUCCESS	29
10	896	753	SUCCESS	30
10	765	662	SUCCESS	31
10	629	507	SUCCESS	32
10	894	753	SUCCESS	33
10	763	662	SUCCESS	34
10	629	507	SUCCESS	35
10	896	753	SUCCESS	36
10	765	662	SUCCESS	37
10	630	507	SUCCESS	38
10	892	753	SUCCESS	39
10	762	662	SUCCESS	40
10	628	507	SUCCESS	41
10	894	753	SUCCESS	42
10	767	662	SUCCESS	43
10	629	507	SUCCESS	44
10	895	753	SUCCESS	45
10	767	662	SUCCESS	46
10	629	507	SUCCESS	47
10	893	753	SUCCESS	48
10	765	662	SUCCESS	49
10	630	507	SUCCESS	50
********************************************************************************
11	1189	767	SUCCESS	1
11	889	578	SUCCESS	2
11	524	343	SUCCESS	3
11	1137	763	SUCCESS	4
11	1507	964	SUCCESS	5
11	190	121	SUCCESS	6
11	617	404	SUCCESS	7
11	1451	970	SUCCESS	8
11	738	480	SUCCESS	9
11	550	348	SUCCESS	10
11	53	32	SUCCESS	11
11	455	300	SUCCESS	12
11	282	186	SUCCESS	13
11	594	380	SUCCESS	14
11	670	417	SUCCESS	15
11	622	397	SUCCESS	16
11	770	496	SUCCESS	17
11	525	340	SUCCESS	18
11	618	397	SUCCESS	19
11	768	496	SUCCESS	20
11	525	340	SUCCESS	21
11	618	397	SUCCESS	22
11	767	496	SUCCESS	23
11	528	340	SUCCESS	24
11	619	397	SUCCESS	25
11	766	496	SUCCESS	26
11	525	340	SUCCESS	27
11	622	397	SUCCESS	28
11	773	496	SUCCESS	29
11	523	340	SUCCESS	30
11	619	397	SUCCESS	31
11	768	496	SUCCESS	32
11	526	340	SUCCESS	33
11	618	397	SUCCESS	34
11	764	496	SUCCESS	35
11	524	340	SUCCESS	36
11	619	397	SUCCESS	37
11	766	496	SUCCESS	38
11	526	340	SUCCESS	39
11	623	397	SUCCESS	40
11	768	496	SUCCESS	41
11	524	340	SUCCESS	42
11	618	397	SUCCESS	43
11	769	496	SUCCESS	44
11	525	340	SUCCESS	45
11	615	397	SUCCESS	46
11	765	496	SUCCESS	47
11	524	340	SUCCESS	48
11	618	397	SUCCESS	49
11	770	496	SUCCESS	50
********************************************************************************
12	268	152	SUCCESS	1
12	974	572	SUCCESS	2
12	328	192	SUCCESS	3
12	1077	658	SUCCESS	4
12	1302	781	SUCCESS	5
12	127	71	SUCCESS	6
12	62	32	SUCCESS	7
12	275	169	SUCCESS	8
