================================================================================
********************************************************************************
Pure Minimum Conflict with Backtracking Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict with Backtracking Algorithm Detail
NQueen	Time	Iteration	SUCCESS/FAIL	Number of Trials
4	19	48	SUCCESS	1
4	8	26	SUCCESS	2
4	4	13	SUCCESS	3
4	5	15	SUCCESS	4
4	4	12	SUCCESS	5
4	4	15	SUCCESS	6
4	4	12	SUCCESS	7
4	4	15	SUCCESS	8
4	4	12	SUCCESS	9
4	4	15	SUCCESS	10
4	4	12	SUCCESS	11
4	4	15	SUCCESS	12
4	3	12	SUCCESS	13
4	5	15	SUCCESS	14
4	4	12	SUCCESS	15
4	4	15	SUCCESS	16
4	4	12	SUCCESS	17
4	4	15	SUCCESS	18
4	3	12	SUCCESS	19
4	4	15	SUCCESS	20
4	4	12	SUCCESS	21
4	4	15	SUCCESS	22
4	3	12	SUCCESS	23
4	4	15	SUCCESS	24
4	4	12	SUCCESS	25
4	4	15	SUCCESS	26
4	3	12	SUCCESS	27
4	4	15	SUCCESS	28
4	4	12	SUCCESS	29
4	4	15	SUCCESS	30
4	3	12	SUCCESS	31
4	4	15	SUCCESS	32
4	4	12	SUCCESS	33
4	4	15	SUCCESS	34
4	3	12	SUCCESS	35
4	4	15	SUCCESS	36
4	4	12	SUCCESS	37
4	4	15	SUCCESS	38
4	3	12	SUCCESS	39
4	4	15	SUCCESS	40
4	3	12	SUCCESS	41
4	4	15	SUCCESS	42
4	4	12	SUCCESS	43
4	4	15	SUCCESS	44
4	3	12	SUCCESS	45
4	4	15	SUCCESS	46
4	4	12	SUCCESS	47
4	4	15	SUCCESS	48
4	3	12	SUCCESS	49
4	4	15	SUCCESS	50
********************************************************************************
5	10	12	SUCCESS	1
5	14	31	SUCCESS	2
5	23	49	SUCCESS	3
5	15	33	SUCCESS	4
5	35	85	SUCCESS	5
5	5	9	SUCCESS	6
5	7	15	SUCCESS	7
5	26	64	SUCCESS	8
5	8	14	SUCCESS	9
5	17	36	SUCCESS	10
5	17	37	SUCCESS	11
5	7	14	SUCCESS	12
5	14	36	SUCCESS	13
5	15	37	SUCCESS	14
5	7	14	SUCCESS	15
5	14	36	SUCCESS	16
5	14	37	SUCCESS	17
5	7	14	SUCCESS	18
5	13	36	SUCCESS	19
5	14	37	SUCCESS	20
5	7	14	SUCCESS	21
5	14	36	SUCCESS	22
