================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Summary result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorith Summary
NQueen	AvgTime	AvgIteration	Number of Trials
4	8	33	50
5	6	17	50
6	19053	40135	50
7	81	113	50
8	23	32	50
9	349	352	50
10	629	527	50
11	545	357	50
12	582	344	50
13	1010	486	50
14	1446	620	50
15	1362	504	50
16	991	344	50
17	2577	744	50
18	2499	647	50
19	2402	532	50
20	2322	488	50
30	7963	765	50
40	15101	917	50
50	27649	1072	50
60	40312	1085	50
70	52069	1171	50
80	82932	1389	50
90	123566	1731	50
100	169139	1786	50
4	11	43	50
5	12	28	50
6	129	246	50
7	112	157	50
8	3655	5662	50
9	226	225	50
10	595	499	50
11	685	445	50
12	591	349	50
13	16787	8103	50
14	719	307	50
15	3016	1122	50
16	1898	653	50
17	2303	667	50
18	3036	789	50
19	2308	512	50
20	2424	509	50
30	7549	725	50
40	18376	1117	50
50	19785	768	50
60	47319	1274	50
70	52982	1194	50
80	94014	1575	50
90	107466	1504	50
100	194396	2054	50
4	17	70	50
5	8	22	50
6	95	172	50
7	56	79	50
8	192	253	50
9	438	431	50
10	534	446	50
11	594	385	50
12	716	427	50
13	624	300	50
14	1005	434	50
15	1431	529	50
16	937	324	50
17	2495	721	50
18	3038	788	50
19	2757	613	50
20	2883	605	50
30	10298	988	50
40	14850	904	50
50	18572	722	50
60	37350	1007	50
70	53070	1195	50
80	74869	1255	50
90	106101	1486	50
100	140398	1485	50
4	3	12	50
5	10	24	50
6	128	241	50
7	133	192	50
8	69	90	50
9	300	304	50
10	522	440	50
11	1052	693	50
12	476	282	50
13	622	300	50
14	1356	584	50
15	1585	587	50
16	1705	590	50
17	2042	587	50
18	2345	605	50
19	3160	699	50
20	3603	755	50
30	8550	820	50
40	19018	1157	50
50	23603	916	50
60	37939	1022	50
70	55087	1240	50
80	73518	1222	50
90	104744	1465	50
100	135995	1438	50
4	4	18	50
5	10	29	50
6	5049	10466	50
7	51	73	50
8	184	242	50
9	213	212	50
10	512	429	50
11	534	353	50
12	1161	700	50
13	604	289	50
14	902	387	50
15	1752	652	50
16	2437	838	50
17	1454	416	50
18	2597	672	50
19	2194	486	50
20	3462	729	50
30	6381	613	50
40	13326	813	50
50	21726	843	50
60	43235	1164	50
70	47514	1071	50
80	82803	1385	50
90	112760	1579	50
100	148847	1573	50
4	4	13	50
5	42	125	50
6	85	168	50
7	49	68	50
8	170	225	50
9	549	555	50
10	541	457	50
11	509	335	50
12	864	515	50
13	1335	643	50
14	6835	3009	50
15	3770	1414	50
16	1253	433	50
17	1299	373	50
18	2696	696	50
19	2691	596	50
20	3317	698	50
30	7476	719	50
40	10988	671	50
50	29209	1134	50
60	42264	1137	50
70	56586	1273	50
80	77362	1296	50
90	104843	1470	50
100	129802	1375	50
4	4	18	50
5	6	14	50
6	102	197	50
7	163	237	50
8	148	192	50
9	329	321	50
10	550	481	50
11	1219	802	50
12	1013	608	50
13	877	421	50
14	1471	630	50
15	1531	566	50
16	830	283	50
17	1704	490	50
18	2116	546	50
19	2537	562	50
20	2606	546	50
30	6027	581	50
40	12693	774	50
50	20925	813	50
60	44861	1209	50
70	51397	1157	50
80	85626	1434	50
90	115282	1614	50
100	154924	1638	50
4	6	22	50
5	6	15	50
6	22	44	50
7	75	107	50
8	233	322	50
9	285	289	50
10	777	644	50
11	862	556	50
12	813	489	50
13	2237	1087	50
14	3157	1365	50
15	1807	666	50
16	1892	656	50
17	2118	612	50
18	2373	612	50
19	2703	600	50
20	3072	645	50
30	6406	614	50
40	16597	1012	50
50	26103	1013	50
60	43536	1174	50
70	54190	1220	50
80	84769	1420	50
90	105492	1477	50
100	156055	1651	50
4	5	18	50
5	10	24	50
6	25185	50696	50
7	25	36	50
8	117	153	50
9	262	261	50
10	462	387	50
11	534	345	50
12	658	391	50
13	871	422	50
14	3117	1359	50
15	1823	674	50
16	2203	761	50
17	2130	615	50
18	2466	637	50
19	2721	603	50
20	2402	504	50
30	7474	719	50
40	12560	766	50
50	22660	880	50
60	34630	934	50
70	56969	1285	50
80	68820	1154	50
90	90626	1270	50
100	136349	1443	50
4	5	21	50
5	8	22	50
6	246	465	50
7	161	231	50
8	100	131	50
9	735	751	50
10	506	419	50
11	1805	1200	50
12	612	367	50
13	934	451	50
14	1308	567	50
15	1446	538	50
16	1440	497	50
17	2259	652	50
18	2204	570	50
19	2537	563	50
20	2962	623	50
30	7984	766	50
40	13607	830	50
50	28413	1103	50
60	47628	1283	50
70	66015	1486	50
80	103396	1731	50
90	103949	1457	50
100	163245	1729	50
