================================================================================
********************************************************************************
Pure Minimum Conflict Algorithm Summary result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict Algorith Summary
NQueen	AvgTime	AvgIteration	Number of Trials
4	3	13	50
6	229	443	50
7	74	103	50
8	147	193	50
9	374	366	50
10	717	601	50
11	18293	12378	50
12	625	378	50
13	1236	594	50
14	1871	804	50
15	2235	826	50
16	2356	806	50
17	1814	523	50
18	2628	679	50
19	2339	518	50
20	2158	454	50
30	7560	726	50
40	13828	843	50
50	23740	923	50
60	41421	1116	50
70	54665	1231	50
80	72975	1222	50
90	98470	1379	50
100	170067	1800	50
4	5	15	50
6	290	564	50
7	68	95	50
8	220	282	50
9	249	249	50
10	638	530	50
11	889	575	50
12	619	370	50
13	1143	548	50
14	1373	599	50
15	1251	464	50
16	832	285	50
17	2046	587	50
18	1855	479	50
19	2697	596	50
20	3068	646	50
30	6502	625	50
40	14825	902	50
50	22374	868	50
60	41533	1117	50
70	50369	1135	50
80	80877	1355	50
90	107189	1502	50
