================================================================================
********************************************************************************
Pure Minimum Conflict with Backtracking Algorithm Summary result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Pure Minimum Conflict with Backtracking Algorithm Summary
NQueen	AvgTime	AvgIteration	Number of Trials
4	14	73	50
5	6	16	50
6	121	232	50
7	90	118	50
8	258	314	50
9	305	287	50
10	958	761	50
11	546	345	50
12	1798	1048	50
13	1755	831	50
14	2326	986	50
15	2227	814	50
16	1352	458	50
17	3633	1041	50
18	2127	542	50
19	2238	490	50
20	3202	667	50
30	7197	692	50
40	14845	898	50
50	25304	976	50
60	43962	1181	50
70	56548	1273	50
80	91444	1525	50
90	112417	1573	50
100	149036	1562	50
4	8	33	50
5	7	17	50
6	117	205	50
7	103	136	50
8	157	188	50
9	257	248	50
10	559	442	50
11	701	443	50
12	1016	582	50
13	1663	785	50
14	966	404	50
15	3224	1180	50
16	2259	765	50
17	1616	462	50
18	2336	595	50
19	2879	634	50
20	2983	622	50
30	7807	745	50
40	16035	971	50
50	23680	914	50
60	39062	1049	50
70	55317	1243	50
80	81475	1359	50
90	99390	1392	50
100	153573	1605	50
4	4	14	50
5	7	17	50
6	146	261	50
7	42	55	50
8	511	630	50
9	196	184	50
10	841	683	50
11	652	414	50
12	1339	771	50
13	1463	691	50
14	2063	871	50
15	1486	542	50
16	1955	662	50
17	500	144	50
18	2613	670	50
19	2840	624	50
20	3414	710	50
30	6719	643	50
40	11897	719	50
50	25025	965	50
60	39604	1063	50
70	55561	1250	50
80	78459	1310	50
90	106635	1492	50
100	151399	1588	50
4	9	36	50
5	7	16	50
6	455	810	50
7	120	156	50
8	172	210	50
9	391	371	50
10	604	479	50
11	832	524	50
12	296	168	50
13	1344	638	50
14	1427	598	50
15	3601	1318	50
16	1400	475	50
17	2341	667	50
18	3633	924	50
19	3830	841	50
20	5109	1065	50
30	7571	726	50
40	12083	731	50
50	18878	728	50
60	51224	1375	50
70	52006	1171	50
80	67212	1120	50
90	104773	1466	50
100	179246	1877	50
4	14	59	50
5	9	20	50
6	141	250	50
7	107	141	50
8	156	190	50
9	258	240	50
10	612	480	50
11	576	362	50
12	989	567	50
13	1141	538	50
14	2159	902	50
15	11396	4165	50
16	1843	623	50
17	2118	603	50
18	3109	795	50
19	2415	531	50
20	2841	592	50
30	9030	865	50
40	15356	928	50
50	28487	1099	50
60	39576	1064	50
70	58178	1309	50
80	101028	1687	50
90	94233	1319	50
100	149415	1566	50
4	29	132	50
5	8	14	50
6	379	654	50
7	81	108	50
8	144	177	50
9	366	348	50
10	379	300	50
11	1650	1044	50
12	614	354	50
13	1270	595	50
14	2740	1148	50
15	3751	1364	50
16	2283	772	50
17	2223	633	50
18	2427	620	50
19	2938	648	50
20	3327	694	50
30	6871	658	50
40	14094	853	50
50	27583	1065	50
60	38050	1022	50
70	48467	1091	50
80	72014	1202	50
90	105011	1470	50
100	177455	1858	50
4	7188	35934	50
5	6	15	50
6	19252	41346	50
7	20	31	50
8	148	182	50
9	266	253	50
10	646	521	50
11	1040	657	50
12	1093	631	50
13	1528	717	50
14	519	220	50
15	1679	617	50
16	1798	607	50
17	2119	601	50
18	3251	828	50
19	1978	434	50
20	3188	666	50
30	8004	766	50
40	12680	768	50
50	19796	763	50
60	38100	1024	50
70	54353	1225	50
80	77586	1295	50
90	121767	1705	50
100	160047	1677	50
4	9	34	50
5	15	36	50
6	88	158	50
7	127	174	50
8	96	116	50
9	275	258	50
10	1435	1167	50
11	1501	955	50
12	1091	629	50
13	798	377	50
14	1617	681	50
15	1510	552	50
16	829	279	50
17	2659	758	50
18	1944	497	50
19	3203	703	50
20	2349	490	50
30	8692	833	50
40	11586	702	50
50	29596	1142	50
60	39529	1061	50
70	54734	1232	50
80	81302	1357	50
90	114092	1595	50
100	137005	1434	50
4	9	39	50
5	13	31	50
6	43	85	50
7	310	406	50
8	141	172	50
9	234	218	50
10	693	549	50
11	1001	630	50
12	1185	682	50
13	935	441	50
14	1791	755	50
15	1630	595	50
16	1559	524	50
17	4361	1244	50
18	1868	478	50
19	3256	715	50
20	4265	889	50
30	8475	811	50
40	14025	849	50
50	23000	888	50
60	37958	1020	50
70	64495	1452	50
80	79645	1330	50
90	127527	1786	50
100	195410	2049	50
4	3	10	50
5	8	21	50
6	209	394	50
7	91	122	50
8	166	201	50
9	107	111	50
10	760	606	50
11	661	416	50
12	1210	692	50
13	1400	658	50
14	2508	1055	50
15	2137	787	50
16	2714	919	50
17	3095	884	50
18	3500	896	50
19	2454	535	50
20	2602	541	50
30	7558	726	50
40	18741	1134	50
50	33084	1276	50
60	48266	1294	50
70	47955	1081	50
80	76800	1282	50
90	119658	1676	50
100	165982	1741	50
